title,text,label
"Scientists discover new planet in habitable zone","Astronomers at NASA have confirmed the discovery of a rocky exoplanet orbiting within the habitable zone of a nearby red dwarf star. The planet, designated Kepler-442b, shows promising signs of atmospheric conditions that could support liquid water on its surface.",0
"Aliens secretly running the government, says whistleblower","A mysterious anonymous whistleblower claims that extraterrestrial beings have been living among us and secretly controlling world governments for centuries. No evidence was provided to support these extraordinary claims.",1
"Stock market reaches all-time high amid economic recovery","The S&P 500 index closed at a record high today as investor confidence grows following strong quarterly earnings reports from major corporations. Analysts attribute the surge to improved consumer spending and job market growth.",0
"Miracle weight loss pill cures all diseases overnight","A newly discovered supplement promises instant weight loss and cures over 200 diseases overnight. Doctors warn that no such medication exists and this is clearly fraudulent advertising targeting vulnerable consumers.",1
"New study reveals benefits of Mediterranean diet","Researchers at Harvard University published findings showing that adherence to a Mediterranean diet reduces cardiovascular disease risk by 30 percent. The 10-year study followed 12000 participants across multiple countries.",0
"Government plans to microchip citizens through vaccines","Conspiracy theorists spread claims that the government intends to implant tracking microchips through mandatory vaccination programs. Health officials have repeatedly debunked this baseless claim.",1
"Tech company announces revolutionary AI chip","Leading semiconductor manufacturer unveiled its latest artificial intelligence processor that delivers 10x performance improvement for machine learning workloads. The chip is expected to ship in Q3 of next year.",0
"Chocolate cake cures cancer according to secret study","An unverified report claims that eating chocolate cake daily can completely cure cancer. The so-called study was not published in any reputable journal and has been dismissed by oncologists worldwide.",1
"University research team develops promising cancer treatment","Scientists at Stanford University have developed a novel immunotherapy approach that shows significant promise in early clinical trials for treating aggressive forms of breast cancer. Phase 2 trials are scheduled to begin next year.",0
"Eating bananas causes instant death warns fake doctor","A fake medical professional claims on social media that eating more than two bananas per day leads to immediate organ failure. This claim has absolutely no scientific basis and is completely false.",1
"Global renewable energy investment reaches record levels","International Energy Agency reports that global investment in renewable energy surpassed 500 billion dollars last year driven by falling solar panel costs and government incentives worldwide.",0
"5G towers are mind control devices says viral post","A viral social media post claims that 5G cellular towers are actually government mind control devices. Scientists and telecommunications experts confirm that 5G technology is completely safe and essential for modern communication.",1
"Central bank announces stable interest rate policy","The Federal Reserve held interest rates steady citing balanced economic conditions. Chairman noted that inflation remains near the 2 percent target while unemployment continues to fall.",0
"Water fluoridation is a government conspiracy to poison citizens","Anti-fluoridation activists claim that adding fluoride to drinking water is a secret government plot to poison the population. Numerous studies have confirmed that water fluoridation at recommended levels is safe and effective for dental health.",1
"Breakthrough in quantum computing achieved by research team","IBM researchers demonstrated a quantum processor that achieved quantum advantage solving a complex optimization problem that would take classical supercomputers thousands of years to complete.",0
"Electromagnetic waves from phones cause immediate brain damage","A widely shared article claims that using mobile phones causes immediate and severe brain damage. Peer-reviewed research shows no conclusive evidence of such acute effects from normal phone usage.",1
"New电动汽车breaks range record with 1000 mile charge","A revolutionary electric vehicle prototype achieved over 1000 miles on a single charge using next-generation solid-state battery technology. The manufacturer plans to bring the technology to production vehicles within three years.",0
"Celebrity secretly alien reptile shapeshifter exposed","An absurd conspiracy theory claims that a well-known celebrity is actually an alien reptile shapeshifter. This claim originates from debunked conspiracy websites and has zero basis in reality.",1
"Economic indicators suggest strong job market recovery","The Bureau of Labor Statistics reported that 350000 jobs were added last month exceeding analyst expectations. The unemployment rate dropped to 3.4 percent its lowest level in over 50 years.",0
"Free money giveaway from the government just send your bank details","Scammers circulate messages claiming the government is giving away free money and ask people to provide their banking information. This is a well-known phishing scam and should be ignored.",1
"Climate scientists publish comprehensive global warming report","A coalition of 200 scientists published a comprehensive assessment of climate change impacts noting that global temperatures have risen 1.1 degrees Celsius since pre-industrial times. The report calls for urgent action to reduce emissions.",0
"Drinking bleach kills all viruses instantly","Dangerous misinformation circulating online claims that drinking bleach or household cleaning products can kill viruses. This is extremely dangerous and can cause severe injury or death. Never ingest cleaning products.",1
"New fossil discovery rewrites understanding of dinosaur evolution","Paleontologists in Montana uncovered a complete fossil of a previously unknown dinosaur species that bridges the gap between theropods and early birds. The discovery challenges existing theories about avian evolution.",0
"Hollow earth theory proven by government scientists","A conspiracy theory claims that government scientists have proven the earth is hollow and inhabited by an advanced civilization. This contradicts all established geological and physical evidence about our planet.",1
"Major pharmaceutical company develops effective Alzheimer treatment","A leading pharmaceutical company announced positive Phase 3 trial results for a new Alzheimer drug that showed significant improvement in cognitive function and slowed disease progression by 35 percent.",0
"Telepathy is real proves leaked classified document","A fabricated document circulating online claims that government research has proven telepathy is real. No credible scientific evidence supports the existence of telepathy and no such classified document exists.",1
"Agricultural innovation improves crop yields for small farmers","New drought-resistant crop varieties developed through conventional breeding techniques have shown 40 percent higher yields in field trials across sub-Saharan Africa. The innovation could help address food security challenges.",0
"Sunscreen causes more skin cancer than it prevents","A misleading article claims that sunscreen chemicals actually cause more cancer than they prevent. Dermatologists confirm that proper sunscreen use significantly reduces skin cancer risk when applied correctly.",1
"Mars colonization mission receives full government funding","NASA and SpaceX jointly announced that their collaborative Mars mission has received full funding from Congress. The mission aims to establish the first permanent human settlement on Mars by 2035.",0
"Secret government weather control machine causes natural disasters","A conspiracy theory claims that governments possess secret machines capable of causing hurricanes earthquakes and tsunamis. Scientists confirm that natural weather phenomena are driven by natural atmospheric and geological processes.",1
"Artificial intelligence helps discover new antibiotics","Machine learning algorithms identified a powerful new antibiotic compound effective against drug-resistant bacteria. The discovery demonstrates how AI can accelerate pharmaceutical research and combat antimicrobial resistance.",0
"Moon landing was filmed in Hollywood studio claim debunked again","Despite repeated debunking conspiracy theorists continue to claim the Apollo moon landings were faked in a Hollywood studio. Photographic evidence physical samples and independent verification from multiple countries confirm the landings were real.",1
"Ocean cleanup initiative removes 10000 tons of plastic from Pacific","An international environmental project successfully removed over 10000 tons of plastic waste from the Great Pacific Garbage Patch using innovative autonomous cleanup vessels. The project aims to remove 50 percent of the patch by 2030.",0
"Fluoride in toothpaste turns people into obedient zombies","Absurd claims suggest that fluoride added to toothpaste has mind-control properties that make people more obedient. There is absolutely no scientific evidence for any such effect and this claim is pure fiction.",1
"Research breakthrough could lead to room temperature superconductor","Materials scientists at MIT announced a breakthrough in superconductivity research achieving zero electrical resistance at temperatures significantly higher than previously possible. The discovery could revolutionize power transmission technology.",0
"Drinking urine boosts immune system claims wellness influencer","A social media wellness influencer promotes drinking urine as a health remedy. Medical professionals strongly warn against this practice as urine contains waste products and bacteria that can cause serious health problems.",1
"Autonomous vehicle technology passes comprehensive safety tests","A leading autonomous vehicle company announced that its self-driving technology passed all federal safety requirements and achieved a perfect score in extensive road testing across diverse weather conditions.",0
"Vaccines contain microchips for government surveillance exposed","Recurring conspiracy theory claims that vaccines contain surveillance microchips. Multiple independent analyses of vaccine contents by scientists worldwide have confirmed that vaccines contain only approved medical ingredients and nothing else.",1
"Deep sea exploration reveals previously unknown ecosystems","Marine biologists discovered thriving ecosystems around hydrothermal vents at record depths in the Mariana Trench. The discovery includes several new species of extremophile organisms that thrive without sunlight.",0
"Airplane contrails are chemical weapons sprayed on citizens","A conspiracy theory claims that the vapor trails left by airplanes are actually chemical weapons being sprayed on the population. Scientists explain that contrails are simply condensed water vapor that forms when hot engine exhaust meets cold air at high altitudes.",1
"Gene therapy shows promising results for treating sickle cell disease","Clinical trials of a new gene therapy for sickle cell disease showed that 90 percent of patients were free of pain crises for over a year after treatment. The therapy uses CRISPR gene editing to correct the genetic mutation causing the disease.",0
